### 财务报告

#### 111年9月30日
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 2,692,238 | $ 2,692,238 | $ 2,692,238 |
| 公司债转换溢价 | 1,636,499 | 1,636,499 | 1,636,499 |
| 员工认股权执行之股票发行溢价 | 3,402,729 | 2,714,285 | 2,545,341 |
| 实际取得或处置子公司股权价格与账面价值差额 | 31,556 | 23,128 | - |
| 接权益法确认关联企业股权净变动数 | 674 | 674 | 674 |
| 员工股票薪酬 | 78,614 | 78,614 | 78,614 |
| 仅得用以弥补亏损 | | | |
| 认列对子公司所有者权益变动数 | 529 | 215 | 161 |
| 接权益法确认关联企业股权净变动数 | 92,148 | 29,408 | 30,492 |
| 已失效员工认股权 | 96,258 | 96,258 | 87,266 |
| 不得作为任何用途 | 1,003,101 | 1,117,567 | 1,262,822 |
| 员工认股权 | | | |
| 总计 | $ 9,034,346 | $ 8,388,886 | $ 8,334,107 |

#### 财务报告注释
#### (四十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十八)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十九)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十六)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十八)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (五十九)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十六)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十八)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (六十九)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十六)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (七十八)附注
