30 日, [1583.0, 401.0, 1656.0, 422.0]
民國, [843.0, 402.0, 903.0, 424.0]
15,148,760, [1598.0, 848.0, 1720.0, 870.0]
3, [1846.0, 848.0, 1871.0, 870.0]
13,244,040, [1986.0, 848.0, 2106.0, 870.0]
3,605,976, [1219.0, 849.0, 1327.0, 869.0]
1180, [227.0, 881.0, 285.0, 904.0]
應收票據及帳款一關係人(附註三三), [430.0, 881.0, 858.0, 902.0]
483 543, [1238.0, 881.0, 1327.0, 902.0]
423,374, [2015.0, 881.0, 2104.0, 904.0]
513,975, [1625.0, 882.0, 1722.0, 904.0]
1200, [227.0, 914.0, 285.0, 937.0]
其他應收款, [430.0, 915.0, 566.0, 938.0]
2,309,268, [1608.0, 915.0, 1720.0, 939.0]
1,654,875, [1997.0, 915.0, 2108.0, 937.0]
1210, [227.0, 948.0, 285.0, 971.0]
其他應收款一關係人(附註三三), [429.0, 949.0, 804.0, 969.0]
415,606, [1627.0, 950.0, 1722.0, 972.0]
314,894, [2015.0, 950.0, 2104.0, 971.0]
20.6., [1257.0, 953.0, 1304.0, 969.0]
130X, [227.0, 981.0, 291.0, 1004.0]
存貨(附註十一), [427.0, 983.0, 630.0, 1005.0]
16,089,980, [1600.0, 983.0, 1720.0, 1006.0]
17,682,787, [1988.0, 983.0, 2104.0, 1005.0]
4, [1846.0, 985.0, 1862.0, 1003.0]
1410, [225.0, 1015.0, 285.0, 1038.0]
預付款項(附註三三), [427.0, 1016.0, 680.0, 1038.0]
4,268,024, [1608.0, 1017.0, 1718.0, 1039.0]
4,705,273, [1997.0, 1017.0, 2106.0, 1039.0]
1, [1844.0, 1019.0, 1866.0, 1038.0]
1479, [227.0, 1049.0, 285.0, 1071.0]
其他流動資産(附註二三), [429.0, 1051.0, 727.0, 1070.0]
1,084,374, [1608.0, 1051.0, 1716.0, 1073.0]
1,087,386, [1997.0, 1051.0, 2106.0, 1072.0]
.035.98, [1236.0, 1054.0, 1314.0, 1071.0]
11XX, [225.0, 1082.0, 293.0, 1106.0]
流動資產總計, [481.0, 1084.0, 638.0, 1107.0]
178,596,913, [1972.0, 1084.0, 2104.0, 1107.0]
175,624,058, [1583.0, 1085.0, 1716.0, 1107.0]
39, [2220.0, 1086.0, 2255.0, 1104.0]
63.318.027, [1207.0, 1087.0, 1321.0, 1103.0]
非流動資產, [378.0, 1148.0, 508.0, 1170.0]
1510, [227.0, 1183.0, 289.0, 1206.0]
透過損益按公允價值衡量之金融資產(附註七、三二及三四), [427.0, 1184.0, 1104.0, 1208.0]
284,876, [1625.0, 1184.0, 1722.0, 1207.0]
6/1/1/, [1236.0, 1199.0, 1323.0, 1206.0]
1517, [225.0, 1216.0, 285.0, 1238.0]
透過其他綜合損益按公允價值衡量之金融資產（附註八、三, [425.0, 1216.0, 1106.0, 1240.0]
二及三四), [450.0, 1251.0, 578.0, 1272.0]
5, [1842.0, 1251.0, 1869.0, 1273.0]
22,180,763, [1980.0, 1251.0, 2108.0, 1273.0]
5, [2230.0, 1251.0, 2253.0, 1272.0]
20,906,490, [1203.0, 1252.0, 1331.0, 1273.0]
22,751,646, [1591.0, 1252.0, 1722.0, 1274.0]
d, [1453.0, 1253.0, 1478.0, 1274.0]
1535, [227.0, 1282.0, 287.0, 1305.0]
按攤銷後成本衡量之金融資產(附註六及三四), [426.0, 1283.0, 961.0, 1308.0]
9,577,103, [1602.0, 1284.0, 1722.0, 1308.0]
18,829,366, [1203.0, 1285.0, 1331.0, 1306.0]
2, [1842.0, 1285.0, 1871.0, 1310.0]
11,646,126, [1980.0, 1285.0, 2110.0, 1307.0]
2, [2230.0, 1285.0, 2255.0, 1309.0]
d, [1451.0, 1286.0, 1478.0, 1309.0]
1550, [225.0, 1317.0, 287.0, 1339.0]
57,333,453, [1203.0, 1317.0, 1331.0, 1341.0]
採用權益法之投資(附註十三及三四), [425.0, 1318.0, 860.0, 1341.0]
53,586,673, [1591.0, 1318.0, 1722.0, 1341.0]
12, [1829.0, 1319.0, 1869.0, 1342.0]
48,944,177, [1980.0, 1319.0, 2108.0, 1340.0]
11, [2220.0, 1319.0, 2253.0, 1340.0]
12, [1443.0, 1320.0, 1478.0, 1342.0]
1600, [225.0, 1351.0, 287.0, 1373.0]
不動產、廠房及設備(附註十四、二四、三三及三四), [425.0, 1352.0, 1044.0, 1375.0]
112,934,189, [1970.0, 1352.0, 2106.0, 1374.0]
127,763,598, [1190.0, 1353.0, 1327.0, 1375.0]
27, [1441.0, 1353.0, 1476.0, 1376.0]
114,739,983, [1577.0, 1353.0, 1720.0, 1375.0]
25, [1833.0, 1353.0, 1866.0, 1375.0]
25, [2220.0, 1353.0, 2253.0, 1375.0]
1755, [225.0, 1384.0, 285.0, 1406.0]
15.634.113, [1203.0, 1385.0, 1329.0, 1406.0]
使用權資產(附註十五、二四及三四), [425.0, 1386.0, 862.0, 1409.0]
3, [1453.0, 1386.0, 1476.0, 1409.0]
15,503,775, [1591.0, 1386.0, 1720.0, 1408.0]
3, [1842.0, 1386.0, 1866.0, 1407.0]
15,697,201, [1980.0, 1386.0, 2104.0, 1408.0]
3, [2228.0, 1386.0, 2255.0, 1407.0]
1760, [225.0, 1418.0, 285.0, 1440.0]
投資性不動產(附註十六、二四及三四), [425.0, 1419.0, 889.0, 1442.0]
7,949,939, [1213.0, 1420.0, 1327.0, 1442.0]
2, [1453.0, 1420.0, 1478.0, 1445.0]
5,323,016, [1604.0, 1420.0, 1720.0, 1443.0]
5,410,610, [1993.0, 1420.0, 2108.0, 1442.0]
1, [2230.0, 1421.0, 2253.0, 1441.0]
1, [1842.0, 1422.0, 1866.0, 1441.0]
1780, [225.0, 1452.0, 285.0, 1474.0]
28.680.821, [1203.0, 1452.0, 1325.0, 1473.0]
27,880,416, [1591.0, 1452.0, 1720.0, 1474.0]
無形資產(附註十七、二四及二八), [425.0, 1453.0, 839.0, 1476.0]
6, [1453.0, 1453.0, 1476.0, 1477.0]
27,997,866, [1980.0, 1453.0, 2108.0, 1475.0]
6, [1844.0, 1456.0, 1866.0, 1476.0]
6, [2230.0, 1456.0, 2253.0, 1476.0]
1915, [225.0, 1486.0, 285.0, 1508.0]
預付設備款(附註十四), [425.0, 1486.0, 705.0, 1509.0]
8,712,928, [1213.0, 1486.0, 1327.0, 1510.0]
2, [1453.0, 1487.0, 1480.0, 1512.0]
9,658,047, [1602.0, 1487.0, 1720.0, 1509.0]
8,435,855, [1991.0, 1487.0, 2108.0, 1509.0]
2, [1842.0, 1488.0, 1871.0, 1511.0]
2, [2230.0, 1488.0, 2255.0, 1510.0]
194D, [225.0, 1519.0, 291.0, 1542.0]
應收融資租賃款(附註十), [423.0, 1519.0, 731.0, 1542.0]
19,049,991, [1203.0, 1520.0, 1325.0, 1543.0]
21,372,402, [1591.0, 1520.0, 1720.0, 1543.0]
5, [1842.0, 1520.0, 1869.0, 1543.0]
22,101,820, [1980.0, 1520.0, 2106.0, 1543.0]
5, [2230.0, 1521.0, 2255.0, 1542.0]
4, [1451.0, 1523.0, 1480.0, 1545.0]
1975, [225.0, 1553.0, 287.0, 1575.0]
淨確定福利資產(附註四), [421.0, 1553.0, 733.0, 1576.0]
1,583,640, [1211.0, 1554.0, 1327.0, 1575.0]
1,567,531, [1598.0, 1554.0, 1716.0, 1577.0]
1,856,632, [1988.0, 1554.0, 2106.0, 1576.0]
|, [1453.0, 1558.0, 1484.0, 1578.0]
!, [1842.0, 1558.0, 1873.0, 1578.0]
|, [2230.0, 1558.0, 2255.0, 1578.0]
门, [1462.0, 1583.0, 1502.0, 1625.0]
1995, [225.0, 1586.0, 287.0, 1609.0]
其他非流動資產(附註四及三四), [419.0, 1587.0, 814.0, 1610.0]
2,857,337, [1211.0, 1587.0, 1329.0, 1611.0]
2,939,435, [1598.0, 1588.0, 1720.0, 1611.0]
2,931,447, [1988.0, 1588.0, 2108.0, 1610.0]
|, [1823.0, 1589.0, 1873.0, 1615.0]
 I, [2216.0, 1589.0, 2255.0, 1614.0]
15XX, [225.0, 1620.0, 295.0, 1643.0]
非流動資產總計, [473.0, 1620.0, 666.0, 1644.0]
65, [1434.0, 1621.0, 1476.0, 1643.0]
309,599,435, [1186.0, 1622.0, 1327.0, 1644.0]
285,184,903, [1575.0, 1622.0, 1720.0, 1644.0]
62, [1823.0, 1622.0, 1866.0, 1644.0]
280,136,686, [1966.0, 1622.0, 2108.0, 1644.0]
61, [2212.0, 1622.0, 2251.0, 1644.0]
1XXX, [225.0, 1687.0, 299.0, 1709.0]
賞, [374.0, 1687.0, 413.0, 1709.0]
產 總, [448.0, 1687.0, 568.0, 1710.0]
   , [578.0, 1688.0, 645.0, 1709.0]
$ 472,917,462, [1161.0, 1688.0, 1327.0, 1711.0]
_100, [1418.0, 1688.0, 1476.0, 1712.0]
$ 460,808,961, [1550.0, 1688.0, 1716.0, 1711.0]
_100, [1806.0, 1688.0, 1869.0, 1712.0]
$ 458,733,599, [1939.0, 1688.0, 2106.0, 1711.0]
100, [2195.0, 1689.0, 2253.0, 1711.0]
代, [225.0, 1753.0, 268.0, 1779.0]
碼 真 真, [283.0, 1753.0, 458.0, 1778.0]
債, [539.0, 1753.0, 580.0, 1777.0]
權, [895.0, 1753.0, 930.0, 1775.0]
总, [1070.0, 1754.0, 1106.0, 1779.0]
及, [721.0, 1755.0, 756.0, 1775.0]
流動負債, [372.0, 1789.0, 485.0, 1811.0]
2100, [221.0, 1819.0, 287.0, 1843.0]
短期借款(附註十八、三十及三四), [419.0, 1820.0, 837.0, 1843.0]
$ 22,416,812, [1548.0, 1820.0, 1722.0, 1844.0]
$ 20,099,911, [1157.0, 1822.0, 1325.0, 1844.0]
5, [1842.0, 1822.0, 1869.0, 1843.0]
$ 44,217,526, [1937.0, 1822.0, 2108.0, 1844.0]
4, [1451.0, 1823.0, 1478.0, 1843.0]
10, [2220.0, 1823.0, 2253.0, 1842.0]
2110, [221.0, 1853.0, 287.0, 1876.0]
應付短期票券(附註十八), [419.0, 1854.0, 731.0, 1877.0]
3,065,961, [1602.0, 1855.0, 1718.0, 1878.0]
3,640,126, [1211.0, 1856.0, 1329.0, 1878.0]
4,108,056, [1991.0, 1856.0, 2108.0, 1878.0]
|, [1451.0, 1857.0, 1482.0, 1878.0]
1, [2228.0, 1857.0, 2253.0, 1875.0]
】, [1842.0, 1858.0, 1873.0, 1877.0]
2120, [223.0, 1887.0, 285.0, 1909.0]
透過損益按公允價值衡量之金融負債（附註七及三二）, [417.0, 1888.0, 1046.0, 1911.0]
603,782, [1228.0, 1889.0, 1329.0, 1911.0]
641,522, [1620.0, 1889.0, 1720.0, 1912.0]
703,682, [2011.0, 1889.0, 2106.0, 1911.0]
i, [1453.0, 1893.0, 1480.0, 1911.0]
i, [1846.0, 1894.0, 1871.0, 1910.0]
-, [2232.0, 1894.0, 2251.0, 1908.0]
2130, [223.0, 1920.0, 285.0, 1943.0]
合約負債(附註二三), [423.0, 1921.0, 681.0, 1942.0]
4,372,004, [1211.0, 1922.0, 1327.0, 1944.0]
1,774,714, [1600.0, 1922.0, 1718.0, 1945.0]
2,507,559, [1991.0, 1922.0, 2104.0, 1944.0]
1, [1451.0, 1923.0, 1482.0, 1946.0]
丁, [2228.0, 1924.0, 2253.0, 1945.0]
i, [1844.0, 1928.0, 1871.0, 1945.0]
2170, [221.0, 1953.0, 285.0, 1976.0]
應付票據及帳款(附註三三), [423.0, 1955.0, 756.0, 1978.0]
11,238,347, [1201.0, 1956.0, 1327.0, 1979.0]
2, [1453.0, 1956.0, 1478.0, 1981.0]
13,691,411, [1594.0, 1956.0, 1716.0, 1979.0]
13,906,734, [1980.0, 1956.0, 2104.0, 1978.0]
3, [2230.0, 1956.0, 2253.0, 1979.0]
3, [1842.0, 1957.0, 1864.0, 1978.0]
2219, [225.0, 1987.0, 283.0, 2011.0]
3, [1453.0, 1988.0, 1476.0, 2012.0]
其他應付款(附註十四、二十及二八), [421.0, 1989.0, 861.0, 2010.0]
9,771,591, [1602.0, 1989.0, 1716.0, 2013.0]
8,675,845, [1993.0, 1989.0, 2104.0, 2012.0]
2, [2230.0, 1989.0, 2253.0, 2014.0]
13,303,326, [1203.0, 1990.0, 1327.0, 2012.0]
2, [1842.0, 1990.0, 1866.0, 2014.0]
2220, [223.0, 2021.0, 283.0, 2044.0]
其他應付款一關係人(附註三三), [421.0, 2022.0, 806.0, 2045.0]
1,080,014, [1211.0, 2023.0, 1327.0, 2045.0]
750,236, [1620.0, 2024.0, 1718.0, 2046.0]
454,103, [2011.0, 2024.0, 2104.0, 2046.0]
一, [1455.0, 2029.0, 1474.0, 2045.0]
一, [2234.0, 2029.0, 2251.0, 2044.0]
一, [1846.0, 2030.0, 1862.0, 2044.0]
2230, [223.0, 2054.0, 283.0, 2077.0]
本期所得稅負債(附註四), [421.0, 2055.0, 729.0, 2078.0]
2,401,752, [1211.0, 2057.0, 1327.0, 2079.0]
1,063,356, [1600.0, 2057.0, 1718.0, 2079.0]
875,099, [2013.0, 2057.0, 2104.0, 2079.0]
1, [1451.0, 2058.0, 1480.0, 2080.0]
一, [1846.0, 2062.0, 1864.0, 2078.0]
|, [2232.0, 2062.0, 2251.0, 2077.0]
2280, [223.0, 2088.0, 283.0, 2111.0]
租賃負債(附註十五及三三), [421.0, 2090.0, 754.0, 2113.0]
396,335, [2013.0, 2090.0, 2104.0, 2112.0]
466,737, [1232.0, 2091.0, 1325.0, 2112.0]
400,136, [1622.0, 2091.0, 1718.0, 2113.0]
l, [2232.0, 2095.0, 2251.0, 2111.0]
|, [1455.0, 2096.0, 1478.0, 2113.0]
l, [1846.0, 2097.0, 1864.0, 2112.0]
2320, [221.0, 2122.0, 283.0, 2145.0]
一年內到期之長期負債(附註十八、十九、三十及三四), [421.0, 2122.0, 1062.0, 2145.0]
8, [1451.0, 2124.0, 1476.0, 2147.0]
21,511,839, [1589.0, 2124.0, 1716.0, 2147.0]
5, [1842.0, 2124.0, 1869.0, 2146.0]
432,766, [2013.0, 2124.0, 2104.0, 2146.0]
36,635,653, [1201.0, 2125.0, 1325.0, 2146.0]
！, [2230.0, 2129.0, 2253.0, 2146.0]
2399, [223.0, 2156.0, 283.0, 2178.0]
其他流動負債, [419.0, 2157.0, 589.0, 2179.0]
121,833, [1618.0, 2157.0, 1720.0, 2179.0]
496,902, [1234.0, 2158.0, 1327.0, 2179.0]
204,126, [2011.0, 2158.0, 2106.0, 2180.0]
--, [2212.0, 2164.0, 2251.0, 2185.0]
“I, [1423.0, 2172.0, 1464.0, 2174.0]
 |, [1811.0, 2172.0, 1858.0, 2178.0]
21XX, [221.0, 2189.0, 291.0, 2212.0]
76,481,831, [1976.0, 2190.0, 2102.0, 2213.0]
流動負債總計, [473.0, 2191.0, 638.0, 2214.0]
94,338,554, [1199.0, 2192.0, 1324.0, 2211.0]
20, [1434.0, 2192.0, 1476.0, 2213.0]
75,209,411, [1585.0, 2192.0, 1718.0, 2214.0]
17, [2210.0, 2192.0, 2253.0, 2214.0]
16, [1821.0, 2193.0, 1864.0, 2213.0]
非流動負債, [368.0, 2256.0, 508.0, 2278.0]
應付公司債(附註十九), [415.0, 2288.0, 705.0, 2311.0]
2530, [221.0, 2289.0, 285.0, 2310.0]
68,840,993, [1199.0, 2291.0, 1327.0, 2312.0]
72,136,574, [1589.0, 2291.0, 1718.0, 2313.0]
89,535,110, [1978.0, 2291.0, 2104.0, 2312.0]
14, [1434.0, 2292.0, 1476.0, 2313.0]
16, [1829.0, 2292.0, 1864.0, 2314.0]
20, [2216.0, 2292.0, 2251.0, 2313.0]
2540, [221.0, 2322.0, 285.0, 2344.0]
長期借款(附註十八、三十及三四), [417.0, 2323.0, 835.0, 2345.0]
31,737,240, [1199.0, 2323.0, 1327.0, 2346.0]
39,019,996, [1978.0, 2323.0, 2106.0, 2346.0]
7, [1449.0, 2324.0, 1480.0, 2346.0]
42,864,736, [1589.0, 2324.0, 1720.0, 2347.0]
8, [2228.0, 2324.0, 2251.0, 2346.0]
d, [1840.0, 2325.0, 1866.0, 2345.0]
2580, [221.0, 2355.0, 283.0, 2377.0]
租賃負債(附註十五及三三), [419.0, 2357.0, 754.0, 2377.0]
3,735,814, [1209.0, 2357.0, 1327.0, 2380.0]
3,359,660, [1988.0, 2357.0, 2106.0, 2380.0]
工, [1445.0, 2358.0, 1478.0, 2380.0]
3,550,048, [1598.0, 2358.0, 1720.0, 2380.0]
1, [2226.0, 2358.0, 2253.0, 2379.0]
 I, [1835.0, 2359.0, 1864.0, 2379.0]
遞延所得稅負債(附註四), [421.0, 2387.0, 729.0, 2411.0]
2570, [221.0, 2389.0, 285.0, 2412.0]
12,209,194, [1978.0, 2389.0, 2104.0, 2413.0]
12,714,330, [1199.0, 2390.0, 1327.0, 2413.0]
12,359,419, [1589.0, 2390.0, 1720.0, 2413.0]
3, [2228.0, 2390.0, 2253.0, 2410.0]
3, [1451.0, 2392.0, 1474.0, 2410.0]
2610, [221.0, 2421.0, 283.0, 2444.0]
長期應付票據(附註十八), [423.0, 2423.0, 727.0, 2445.0]
3, [2230.0, 2423.0, 2249.0, 2443.0]
15,064,836, [1199.0, 2424.0, 1325.0, 2447.0]
14,990,589, [1589.0, 2424.0, 1716.0, 2448.0]
15,063,137, [1978.0, 2424.0, 2104.0, 2447.0]
3, [1453.0, 2425.0, 1472.0, 2444.0]
3, [1842.0, 2426.0, 1860.0, 2443.0]
2640, [221.0, 2455.0, 283.0, 2478.0]
淨確定福利負債(附註四), [423.0, 2457.0, 727.0, 2479.0]
63,349, [1244.0, 2458.0, 1325.0, 2480.0]
119,623, [1620.0, 2458.0, 1716.0, 2481.0]
79,610, [2026.0, 2458.0, 2104.0, 2480.0]
2670, [221.0, 2489.0, 283.0, 2512.0]
其他非流動負債(附註十三及十四), [425.0, 2490.0, 829.0, 2512.0]
1,695,855, [1209.0, 2491.0, 1325.0, 2514.0]
1,302,781, [1600.0, 2491.0, 1711.0, 2514.0]
1,314,615, [1988.0, 2492.0, 2104.0, 2514.0]
：|, [2231.0, 2494.0, 2256.0, 2522.0]
】, [1842.0, 2496.0, 1867.0, 2521.0]
:, [1453.0, 2497.0, 1472.0, 2517.0]
25XX, [221.0, 2522.0, 289.0, 2545.0]
32, [1827.0, 2523.0, 1862.0, 2546.0]
28, [1438.0, 2524.0, 1472.0, 2545.0]
35, [2214.0, 2524.0, 2249.0, 2545.0]
非流動負債總計, [475.0, 2525.0, 663.0, 2547.0]
133,852,417, [1186.0, 2525.0, 1323.0, 2547.0]
147,323,770, [1575.0, 2525.0, 1711.0, 2548.0]
160,581,322, [1966.0, 2525.0, 2102.0, 2547.0]
2XXX, [219.0, 2587.0, 293.0, 2611.0]
負債總計, [475.0, 2589.0, 580.0, 2613.0]
228,190,971, [1186.0, 2590.0, 1323.0, 2612.0]
222,533,181, [1575.0, 2590.0, 1709.0, 2613.0]
237,063,153, [1964.0, 2590.0, 2104.0, 2612.0]
52, [2212.0, 2590.0, 2251.0, 2613.0]
 48, [1432.0, 2591.0, 1474.0, 2612.0]
 48, [1823.0, 2591.0, 1862.0, 2612.0]
本公司業主權益總計(附註二二), [370.0, 2653.0, 754.0, 2676.0]
3110, [219.0, 2688.0, 283.0, 2710.0]
普通股股本, [425.0, 2689.0, 560.0, 2711.0]
71,561,817, [1197.0, 2689.0, 1325.0, 2711.0]
15, [1434.0, 2689.0, 1474.0, 2711.0]
71,561,817, [1589.0, 2690.0, 1713.0, 2712.0]
16, [1829.0, 2690.0, 1862.0, 2711.0]
67,361,817, [1978.0, 2690.0, 2102.0, 2711.0]
15, [2216.0, 2691.0, 2251.0, 2712.0]
3120, [219.0, 2721.0, 283.0, 2743.0]
2,000,000, [1600.0, 2722.0, 1716.0, 2746.0]
2,000,000, [1988.0, 2722.0, 2104.0, 2745.0]
特別股股本, [421.0, 2723.0, 558.0, 2745.0]
2,000,000, [1211.0, 2723.0, 1325.0, 2745.0]
 I, [2222.0, 2724.0, 2249.0, 2746.0]
|, [1453.0, 2729.0, 1472.0, 2743.0]
|, [1844.0, 2730.0, 1860.0, 2742.0]
3200, [219.0, 2754.0, 283.0, 2777.0]
資本公積, [425.0, 2756.0, 533.0, 2778.0]
65,939,406, [1199.0, 2756.0, 1325.0, 2778.0]
56,817,103, [1980.0, 2756.0, 2104.0, 2778.0]
12, [2212.0, 2756.0, 2251.0, 2779.0]
65,985,865, [1589.0, 2757.0, 1716.0, 2779.0]
14, [1829.0, 2758.0, 1862.0, 2779.0]
14, [1436.0, 2759.0, 1472.0, 2778.0]
3300, [219.0, 2787.0, 283.0, 2811.0]
保留盈餘, [423.0, 2789.0, 533.0, 2811.0]
68,806,743, [1201.0, 2789.0, 1325.0, 2812.0]
66,527,594, [1589.0, 2790.0, 1713.0, 2813.0]
64,275,022, [1978.0, 2790.0, 2102.0, 2812.0]
15, [1438.0, 2791.0, 1474.0, 2811.0]
14, [2214.0, 2791.0, 2249.0, 2812.0]
14, [1831.0, 2792.0, 1860.0, 2811.0]
3400, [219.0, 2821.0, 283.0, 2844.0]
2, [2224.0, 2822.0, 2251.0, 2847.0]
3, [1449.0, 2823.0, 1474.0, 2846.0]
3, [1840.0, 2823.0, 1862.0, 2845.0]
其他權益, [423.0, 2824.0, 531.0, 2845.0]
14,822,862, [1196.0, 2824.0, 1324.0, 2845.0]
11,991,090, [1589.0, 2824.0, 1716.0, 2847.0]
11,131,654, [1978.0, 2824.0, 2102.0, 2847.0]
3500, [219.0, 2854.0, 283.0, 2878.0]
732,459 \, [1230.0, 2856.0, 1333.0, 2878.0]
庫藏股票, [425.0, 2857.0, 531.0, 2878.0]
171,600 ), [2007.0, 2857.0, 2115.0, 2879.0]
171,600 ), [1618.0, 2858.0, 1726.0, 2880.0]
「, [1449.0, 2862.0, 1474.0, 2882.0]
-, [2224.0, 2862.0, 2251.0, 2882.0]
, [1827.0, 2863.0, 1862.0, 2885.0]
31XX, [219.0, 2889.0, 289.0, 2912.0]
222,398,369, [1186.0, 2889.0, 1325.0, 2912.0]
本公司業主權益總計, [474.0, 2890.0, 710.0, 2910.0]
201,413,996, [1966.0, 2890.0, 2103.0, 2913.0]
44, [2212.0, 2890.0, 2251.0, 2913.0]
47, [1436.0, 2891.0, 1472.0, 2911.0]
217,894,766, [1575.0, 2891.0, 1713.0, 2913.0]
47, [1827.0, 2892.0, 1862.0, 2911.0]
36XX, [219.0, 2954.0, 289.0, 2978.0]
非控制權益(附註二二), [372.0, 2955.0, 649.0, 2978.0]
 5, [1434.0, 2956.0, 1474.0, 2979.0]
20,381,014, [1587.0, 2956.0, 1716.0, 2978.0]
22,328,122, [1197.0, 2957.0, 1325.0, 2979.0]
 5, [1829.0, 2957.0, 1862.0, 2979.0]
20,256,450, [1978.0, 2957.0, 2102.0, 2979.0]
 ব, [2220.0, 2958.0, 2251.0, 2980.0]
3XXX, [219.0, 3019.0, 293.0, 3042.0]
244.726.491, [1186.0, 3020.0, 1323.0, 3042.0]
權益總計, [423.0, 3021.0, 531.0, 3044.0]
52, [1821.0, 3021.0, 1864.0, 3045.0]
52, [1432.0, 3022.0, 1474.0, 3044.0]
238,275,780, [1575.0, 3022.0, 1713.0, 3044.0]
221,670,446, [1964.0, 3022.0, 2102.0, 3044.0]
48, [2210.0, 3023.0, 2251.0, 3045.0]
債 與 權 益 總 計, [415.0, 3087.0, 713.0, 3107.0]
$ 472,917,462, [1159.0, 3088.0, 1325.0, 3111.0]
_100, [1416.0, 3088.0, 1474.0, 3111.0]
$ 460,808,961, [1548.0, 3088.0, 1709.0, 3110.0]
_100, [1802.0, 3088.0, 1862.0, 3112.0]
$ 458,733,599, [1939.0, 3088.0, 2102.0, 3110.0]
_100, [2189.0, 3088.0, 2251.0, 3111.0]
員, [376.0, 3090.0, 409.0, 3108.0]
後附之附註係本合併, [957.0, 3157.0, 1240.0, 3179.0]
(請參閱勤業眾信聯合會計師事務, [767.0, 3196.0, 1228.0, 3218.0]
月 10 日核閱報告), [1467.0, 3196.0, 1720.0, 3217.0]
會計主管:葉國宏, [1685.0, 3270.0, 1933.0, 3292.0]
董事長:張安平, [219.0, 3271.0, 440.0, 3293.0]
經理人:程耀輝, [948.0, 3271.0, 1168.0, 3291.0]
