份有限品, [1176.0, 371.0, 1394.0, 402.0]
正及修訂之準則及解釋:, [403.0, 1775.0, 1034.0, 1812.0]
國際會計準則理事會, [1836.0, 1938.0, 2291.0, 1972.0]
新發布/修正/修訂準則及解釋, [781.0, 2009.0, 1443.0, 2045.0]
發布之生效日, [1893.0, 2011.0, 2203.0, 2042.0]
國際財務報導準則第3號之修正「對觀念架構之索引」, [405.0, 2075.0, 1582.0, 2122.0]
民國111年1月1日, [1859.0, 2081.0, 2240.0, 2118.0]
國際會計準則第16號之修正「不動產、廠房及設備：達到預定, [405.0, 2142.0, 1830.0, 2188.0]
民國111年1月1日, [1834.0, 2149.0, 2240.0, 2185.0]
使用狀態前之價款（, [403.0, 2212.0, 856.0, 2252.0]
國際會計準則第37號之修正 | 虧損性合約─履行合約之成本」, [405.0, 2276.0, 1758.0, 2317.0]
民國111年1月1日, [1857.0, 2278.0, 2237.0, 2315.0]
2018-2020週期之年度改善, [401.0, 2342.0, 985.0, 2383.0]
民國11年1月1日, [1863.0, 2344.0, 2237.0, 2382.0]
本集團經評估上並準則及解釋對本集團財務狀況與財務績效並無重大影, [403.0, 2431.0, 2302.0, 2472.0]


 , [401.0, 2495.0, 508.0, 2536.0]
(二)尚未採用金管會認可之新發布、修正後國際財務報導準則之影響, [295.0, 2592.0, 2039.0, 2631.0]
：, [401.0, 2680.0, 506.0, 2721.0]
-13-, [1193.0, 3291.0, 1284.0, 3324.0]
